name,category_b,category_s,location,link
제부도해수욕장,해수욕장,"해수욕장,해변",경기도,https://m.place.naver.com/place/13490881?entry=ple
궁평리해수욕장,해수욕장,"해수욕장,해변",경기도,https://m.place.naver.com/place/13490864?entry=ple
구봉솔숲해수욕장,해수욕장,"해수욕장,해변",경기도,https://m.place.naver.com/place/1981683242?entry=ple
국화도해수욕장,해수욕장,"해수욕장,해변",경기도,https://m.place.naver.com/place/34581395?entry=ple
방아머리해변,해수욕장,"해수욕장,해변",경기도,https://m.place.naver.com/place/20034123?entry=ple
경포해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/12079976?entry=ple
정동진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491778?entry=ple
속초해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491735?entry=ple
사근진해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15371716?entry=ple
안목해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491906?entry=ple
아야진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491425?entry=ple
하조대해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491656?entry=ple
맹방해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13490997?entry=ple
강문해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491183?entry=ple
정암해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13490895?entry=ple
삼포해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13444347?entry=ple
한섬해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491772?entry=ple
송지호해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491067?entry=ple
물치해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491983?entry=ple
공현진1리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491061?entry=ple
삼척해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491725?entry=ple
주문진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491005?entry=ple
봉포해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491948?entry=ple
사천진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491051?entry=ple
망상해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491695?entry=ple
사천해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491268?entry=ple
영진해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491150?entry=ple
남항진해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491444?entry=ple
낙산해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13444280?entry=ple
화진포해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491809?entry=ple
남애3리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491156?entry=ple
자작도해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491134?entry=ple
하평해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/21622829?entry=ple
동호해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13428005?entry=ple
천진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491824?entry=ple
가진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491770?entry=ple
등대해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491890?entry=ple
멍비치,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/38415954?entry=ple
안인해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491186?entry=ple
추암해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491792?entry=ple
인구해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491722?entry=ple
장호해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491944?entry=ple
갯마을해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491626?entry=ple
마차진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491518?entry=ple
등명해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491470?entry=ple
증산해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13490928?entry=ple
거진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491505?entry=ple
죽도해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491280?entry=ple
하평해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15704997?entry=ple
덕산해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491902?entry=ple
어달해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491975?entry=ple
부남해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491578?entry=ple
송전해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491668?entry=ple
간이해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/21052568?entry=ple
잔교리해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/19838342?entry=ple
순긋해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491745?entry=ple
외옹치해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491373?entry=ple
소돌해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491657?entry=ple
대진해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/1617936738?entry=ple
용화해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491452?entry=ple
향호해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15698326?entry=ple
반암해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11491707?entry=ple
감추해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13490926?entry=ple
교암리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491638?entry=ple
중광정해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/1201147947?entry=ple
지경리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491277?entry=ple
강릉 송정해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/20065935?entry=ple
동산해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491643?entry=ple
금진해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15703904?entry=ple
순개울해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15695793?entry=ple
연곡해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13444336?entry=ple
청간해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/21656492?entry=ple
백도해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491937?entry=ple
옥계해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13444970?entry=ple
원평해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15117955?entry=ple
봉수대해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491251?entry=ple
염전해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15701732?entry=ple
명파해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491513?entry=ple
임원해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491788?entry=ple
설악해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491555?entry=ple
공현진2리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/36072526?entry=ple
노봉해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491308?entry=ple
원포리해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15163619?entry=ple
뒷불해변,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/15704900?entry=ple
대진1리해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491292?entry=ple
신남해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/13491233?entry=ple
한재밑해수욕장,해수욕장,"해수욕장,해변",강원,https://m.place.naver.com/place/11550828?entry=ple
