name,category_b,category_s,location,link
소금산그랜드밸리,캠핑장,유원지,강원도,https://m.place.naver.com/place/13419069?entry=ple
망상오토캠핑리조트,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/11477447?entry=ple
집다리골자연휴양림,캠핑장,"휴양림,산림욕장",강원도,https://m.place.naver.com/place/13165409?entry=ple
동호해변,캠핑장,"해수욕장,해변",강원도,https://m.place.naver.com/place/13428005?entry=ple
월송리캠프&글램핑카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1603582336?entry=ple
태백고원자연휴양림,캠핑장,"휴양림,산림욕장",강원도,https://m.place.naver.com/place/13165470?entry=ple
설악동야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/15100860?entry=ple
라플란드,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1689180910?entry=ple
캄파슬로우,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35296495?entry=ple
추암오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/418469971?entry=ple
트리플펜션&글램핑,캠핑장,펜션,강원도,https://m.place.naver.com/place/35069816?entry=ple
오페라 럭셔리글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1213040393?entry=ple
답게,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1284795401?entry=ple
오크밸리카라반캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37130243?entry=ple
속초밤하늘글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1653825170?entry=ple
맹방비치캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1454265978?entry=ple
연곡해변솔향기캠핑장,캠핑장,펜션,강원도,https://m.place.naver.com/place/35413658?entry=ple
솔섬오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/19445040?entry=ple
모곡밤벌유원지,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/13418244?entry=ple
캠핑느루,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1055935275?entry=ple
송지호 오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/13083822?entry=ple
리버사이드 영월,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1244734386?entry=ple
인제캠핑타운,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35457692?entry=ple
도사곡휴양림,캠핑장,"휴양림,산림욕장",강원도,https://m.place.naver.com/place/13167389?entry=ple
태백호텔 태백눈꽃야영장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1940704895?entry=ple
계방산오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/13418193?entry=ple
청간정카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1517980335?entry=ple
그레이스글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1605060499?entry=ple
보보스캇 펜션 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/31499768?entry=ple
