name,category_b,category_s,location,link
오즈PC방 강남역점,pc방,PC방,강남,https://m.place.naver.com/place/1064489588?entry=ple
긱스타PC & 올툰만화카페 선릉점,pc방,PC방,강남,https://m.place.naver.com/place/1356998346?entry=ple
아이리스 PC방 신사점,pc방,PC방,강남,https://m.place.naver.com/place/1475405010?entry=ple
파빌리온PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1715367286?entry=ple
3pop pc 방,pc방,PC방,강남,https://m.place.naver.com/place/1603333343?entry=ple
오즈쓰리팝 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1871609805?entry=ple
피씨앤쿡,pc방,PC방,강남,https://m.place.naver.com/place/36628673?entry=ple
제로100PC 대치점,pc방,PC방,강남,https://m.place.naver.com/place/1121773755?entry=ple
오즈쓰리팝PC방,pc방,PC방,강남,https://m.place.naver.com/place/1117702725?entry=ple
게임이너스 양재점,pc방,PC방,강남,https://m.place.naver.com/place/30815131?entry=ple
바나나 PC 카페,pc방,PC방,강남,https://m.place.naver.com/place/1689573923?entry=ple
OX PC 압구정로데오역점,pc방,PC방,강남,https://m.place.naver.com/place/1758112778?entry=ple
3POP PC방(강남역),pc방,PC방,강남,https://m.place.naver.com/place/1249517233?entry=ple
ING PC CAFE,pc방,PC방,강남,https://m.place.naver.com/place/1982540719?entry=ple
3POP PC CAFE 역삼점,pc방,PC방,강남,https://m.place.naver.com/place/1606949340?entry=ple
3POP PC방,pc방,PC방,강남,https://m.place.naver.com/place/1025435021?entry=ple
탑플레이스PC방 강남언주역점,pc방,PC방,강남,https://m.place.naver.com/place/1007436154?entry=ple
3POP PC Cafe 포스코사거리점,pc방,PC방,강남,https://m.place.naver.com/place/1507738773?entry=ple
아이센스리그PC 압구정점,pc방,PC방,강남,https://m.place.naver.com/place/1155006131?entry=ple
3POP PC CAFE,pc방,PC방,강남,https://m.place.naver.com/place/1961665585?entry=ple
제로백PC 매직엔 개포점,pc방,PC방,강남,https://m.place.naver.com/place/1435076493?entry=ple
PICK PC방,pc방,PC방,강남,https://m.place.naver.com/place/1147912425?entry=ple
옵티멈존 PC카페 논현점,pc방,PC방,강남,https://m.place.naver.com/place/1658753998?entry=ple
단골PC Cafe,pc방,PC방,강남,https://m.place.naver.com/place/1089398306?entry=ple
오즈아레나PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1189613706?entry=ple
맥스피드PC방 논현점,pc방,PC방,강남,https://m.place.naver.com/place/20628801?entry=ple
강남탑 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1306403456?entry=ple
덤프 독스일원동1호점,pc방,PC방,강남,https://m.place.naver.com/place/1236931579?entry=ple
셰프 PC방 강남역직영점,pc방,PC방,강남,https://m.place.naver.com/place/1565772174?entry=ple
친친PC,pc방,PC방,강남,https://m.place.naver.com/place/11644957?entry=ple
쓰리팝 대치점,pc방,PC방,강남,https://m.place.naver.com/place/100155918?entry=ple
제로백PC 삼성중앙역점,pc방,PC방,강남,https://m.place.naver.com/place/1658859949?entry=ple
PeaK PC방 역삼,pc방,PC방,강남,https://m.place.naver.com/place/1934118131?entry=ple
제로백 구룡역점,pc방,PC방,강남,https://m.place.naver.com/place/1345679923?entry=ple
포텐PC방,pc방,PC방,강남,https://m.place.naver.com/place/1270858794?entry=ple
로지텍 G PC방,pc방,PC방,강남,https://m.place.naver.com/place/1847664721?entry=ple
3POP PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1292263662?entry=ple
프리미엄PC방 역삼점,pc방,PC방,강남,https://m.place.naver.com/place/18795830?entry=ple
반트 PC,pc방,PC방,강남,https://m.place.naver.com/place/588529915?entry=ple
인디고PC방 대치점,pc방,PC방,강남,https://m.place.naver.com/place/1243884709?entry=ple
VRIZ 학동점,pc방,PC방,강남,https://m.place.naver.com/place/1726575420?entry=ple
F3 PC ZONE,pc방,PC방,강남,https://m.place.naver.com/place/887006106?entry=ple
제너스PC 대치점,pc방,PC방,강남,https://m.place.naver.com/place/1552960548?entry=ple
시그니처아레나PC방 도곡점,pc방,PC방,강남,https://m.place.naver.com/place/1842360864?entry=ple
기어나인 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1124323558?entry=ple
피에스타PC방,pc방,PC방,강남,https://m.place.naver.com/place/1014061522?entry=ple
에이스pc방,pc방,PC방,강남,https://m.place.naver.com/place/1153926693?entry=ple
헌터PC 언주역점,pc방,PC방,강남,https://m.place.naver.com/place/1705226189?entry=ple
덤프PC 일원동2호점,pc방,PC방,강남,https://m.place.naver.com/place/1766789550?entry=ple
쓰리팝PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1158018383?entry=ple
아이센스PC 역삼점,pc방,PC방,강남,https://m.place.naver.com/place/1743764431?entry=ple
이스포츠pc방 강남일원점,pc방,PC방,강남,https://m.place.naver.com/place/1020164480?entry=ple
덤프PC방,pc방,PC방,강남,https://m.place.naver.com/place/1423902960?entry=ple
논현24PC방,pc방,PC방,강남,https://m.place.naver.com/place/1584046172?entry=ple
네옥스PC방,pc방,PC방,강남,https://m.place.naver.com/place/1124781171?entry=ple
웨이브피씨방,pc방,PC방,강남,https://m.place.naver.com/place/1716821813?entry=ple
시그니처아레나PC방 역삼점,pc방,PC방,강남,https://m.place.naver.com/place/1486949549?entry=ple
젤존PC방,pc방,PC방,강남,https://m.place.naver.com/place/20624787?entry=ple
유니넷PC방,pc방,PC방,강남,https://m.place.naver.com/place/38456892?entry=ple
본PC카페 역삼점,pc방,PC방,강남,https://m.place.naver.com/place/1098049718?entry=ple
와바PC방,pc방,PC방,강남,https://m.place.naver.com/place/1161424999?entry=ple
풀타임피씨방,pc방,PC방,강남,https://m.place.naver.com/place/1270586149?entry=ple
토끼와거북이PC방,pc방,PC방,강남,https://m.place.naver.com/place/1037272946?entry=ple
3POP PC방,pc방,PC방,강남,https://m.place.naver.com/place/1064973634?entry=ple
럭셔리라임PC카페빈,pc방,PC방,강남,https://m.place.naver.com/place/38456847?entry=ple
애플PC,pc방,PC방,강남,https://m.place.naver.com/place/38454928?entry=ple
PC베네 일원점,pc방,PC방,강남,https://m.place.naver.com/place/1642284677?entry=ple
엘피씨,pc방,PC방,강남,https://m.place.naver.com/place/38454931?entry=ple
디지털카페매직스테이션,pc방,PC방,강남,https://m.place.naver.com/place/11645609?entry=ple
사이버리아 선릉2동점,pc방,PC방,강남,https://m.place.naver.com/place/11647305?entry=ple
메가웹스테이션 선릉점,pc방,PC방,강남,https://m.place.naver.com/place/11646318?entry=ple
바닐라PC,pc방,PC방,강남,https://m.place.naver.com/place/38454925?entry=ple
메가웹스테이션,pc방,PC방,강남,https://m.place.naver.com/place/1126104153?entry=ple
레알PC,pc방,PC방,강남,https://m.place.naver.com/place/20621067?entry=ple
피스마케팅,pc방,PC방,강남,https://m.place.naver.com/place/1917106940?entry=ple
강남PC방,pc방,PC방,강남,https://m.place.naver.com/place/1172040378?entry=ple
Portal PC,pc방,PC방,강남,https://m.place.naver.com/place/1650473644?entry=ple
아이센스리그PC 신논현점,pc방,PC방,강남,https://m.place.naver.com/place/1780051751?entry=ple
메가PC방,pc방,PC방,강남,https://m.place.naver.com/place/1597436302?entry=ple
로지텍 G PC 카페,pc방,PC방,강남,https://m.place.naver.com/place/1106784034?entry=ple
아이센스리그PC 송파방이점,pc방,PC방,강남,https://m.place.naver.com/place/1653442387?entry=ple
런2 피씨방,pc방,PC방,강남,https://m.place.naver.com/place/1271396881?entry=ple
웨스트 pc,pc방,PC방,강남,https://m.place.naver.com/place/1027140693?entry=ple
솔라PC방,pc방,PC방,강남,https://m.place.naver.com/place/1388198923?entry=ple
이스포츠센터 건대점,pc방,PC방,강남,https://m.place.naver.com/place/1237412223?entry=ple
포포PC방 건대점,pc방,PC방,강남,https://m.place.naver.com/place/339128853?entry=ple
제니스센트럴PC방,pc방,PC방,강남,https://m.place.naver.com/place/1766860771?entry=ple
나무PC&CAFE,pc방,PC방,강남,https://m.place.naver.com/place/1154390367?entry=ple
맥스피드PC방 동서울터미널점,pc방,PC방,강남,https://m.place.naver.com/place/1456162984?entry=ple
라인업PC방,pc방,PC방,강남,https://m.place.naver.com/place/38455268?entry=ple
아이센스리그PC방 천호점,pc방,PC방,강남,https://m.place.naver.com/place/1372956537?entry=ple
피씨앤쿡 건대점,pc방,PC방,강남,https://m.place.naver.com/place/1094916978?entry=ple
맥스피드PC 문정직영,pc방,PC방,강남,https://m.place.naver.com/place/1716678280?entry=ple
플존 방이2호점,pc방,PC방,강남,https://m.place.naver.com/place/1188745376?entry=ple
와드PC,pc방,PC방,강남,https://m.place.naver.com/place/1546224472?entry=ple
나는PC방이다,pc방,PC방,강남,https://m.place.naver.com/place/1822578518?entry=ple
큐브 PC방,pc방,PC방,강남,https://m.place.naver.com/place/763890086?entry=ple
비원PC방,pc방,PC방,강남,https://m.place.naver.com/place/1832616212?entry=ple
로가피씨방,pc방,PC방,강남,https://m.place.naver.com/place/1178245369?entry=ple
크라우드PC방 교대점,pc방,PC방,강남,https://m.place.naver.com/place/1540997181?entry=ple
이로운PC,pc방,PC방,강남,https://m.place.naver.com/place/1099955081?entry=ple
에코스pc방 방이사거리점,pc방,PC방,강남,https://m.place.naver.com/place/1814175194?entry=ple
더캠프pc,pc방,PC방,강남,https://m.place.naver.com/place/1597332778?entry=ple
위드매치 PC,pc방,PC방,강남,https://m.place.naver.com/place/1058688881?entry=ple
사이버리아PC방,pc방,PC방,강남,https://m.place.naver.com/place/1129599835?entry=ple
스카이넷PC,pc방,PC방,강남,https://m.place.naver.com/place/38349641?entry=ple
비원PC,pc방,PC방,강남,https://m.place.naver.com/place/1963845085?entry=ple
앤탑 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1079562070?entry=ple
비원 피시방 천호점,pc방,PC방,강남,https://m.place.naver.com/place/1135674727?entry=ple
맥스피드PC방 송파가락역점,pc방,PC방,강남,https://m.place.naver.com/place/1237940534?entry=ple
3POP PC방 잠실새내점,pc방,PC방,강남,https://m.place.naver.com/place/1442716824?entry=ple
블리츠피씨방,pc방,PC방,강남,https://m.place.naver.com/place/1228977813?entry=ple
레벨업PC카페 남부터미널점,pc방,PC방,강남,https://m.place.naver.com/place/1716370209?entry=ple
욜로 PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1381855809?entry=ple
맥스피드PC방 남부터미널점,pc방,PC방,강남,https://m.place.naver.com/place/1995790360?entry=ple
게이트5 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1505930395?entry=ple
콤마PC CAFE 구의역점,pc방,PC방,강남,https://m.place.naver.com/place/1925031490?entry=ple
덤프pc방,pc방,PC방,강남,https://m.place.naver.com/place/1261320318?entry=ple
탑클래스 PC방 가락점,pc방,PC방,강남,https://m.place.naver.com/place/1640010338?entry=ple
라이킷PC 장지점,pc방,PC방,강남,https://m.place.naver.com/place/1022429883?entry=ple
마우스헌터pc방,pc방,PC방,강남,https://m.place.naver.com/place/453678572?entry=ple
PeaK PC방 삼전,pc방,PC방,강남,https://m.place.naver.com/place/37383730?entry=ple
라이온PC방 천호점,pc방,PC방,강남,https://m.place.naver.com/place/20638712?entry=ple
탑스타 PC방 송파본점,pc방,PC방,강남,https://m.place.naver.com/place/1331864064?entry=ple
엔탑pc방 천호동점,pc방,PC방,강남,https://m.place.naver.com/place/1229770447?entry=ple
Zoo PC방,pc방,PC방,강남,https://m.place.naver.com/place/21700953?entry=ple
비원PC방,pc방,PC방,강남,https://m.place.naver.com/place/1215387655?entry=ple
쓰리팝 PC방,pc방,PC방,강남,https://m.place.naver.com/place/1684797067?entry=ple
가자PC방,pc방,PC방,강남,https://m.place.naver.com/place/1489949281?entry=ple
제로백PC 삼전역점,pc방,PC방,강남,https://m.place.naver.com/place/1408035631?entry=ple
제로백PC 서초점,pc방,PC방,강남,https://m.place.naver.com/place/1262021169?entry=ple
덤프PC,pc방,PC방,강남,https://m.place.naver.com/place/1898734264?entry=ple
카카오PC방,pc방,PC방,강남,https://m.place.naver.com/place/36909151?entry=ple
바이브PC방,pc방,PC방,강남,https://m.place.naver.com/place/11649050?entry=ple
헌터PC방 석촌본점,pc방,PC방,강남,https://m.place.naver.com/place/1564768628?entry=ple
제이엠티PC방,pc방,PC방,강남,https://m.place.naver.com/place/1513251309?entry=ple
탑플레이스PC 서울반포점,pc방,PC방,강남,https://m.place.naver.com/place/1924600623?entry=ple
나비PC방,pc방,PC방,강남,https://m.place.naver.com/place/1814422458?entry=ple
탑플레이스PC방,pc방,PC방,강남,https://m.place.naver.com/place/1254288818?entry=ple
인디고PC방 양재점,pc방,PC방,강남,https://m.place.naver.com/place/1611802848?entry=ple
OKPC존,pc방,PC방,강남,https://m.place.naver.com/place/20624626?entry=ple
블랙PC방,pc방,PC방,강남,https://m.place.naver.com/place/1702181693?entry=ple
이스포츠PC카페석촌점,pc방,PC방,강남,https://m.place.naver.com/place/1237332793?entry=ple
쓰리팝 PC방,pc방,PC방,강남,https://m.place.naver.com/place/978475704?entry=ple
탑클래스pc방,pc방,PC방,강남,https://m.place.naver.com/place/1966184150?entry=ple
라이온시티PC,pc방,PC방,강남,https://m.place.naver.com/place/1600100121?entry=ple
제로백PC 잠실학원사거리점,pc방,PC방,강남,https://m.place.naver.com/place/1798004283?entry=ple
인디고PC 한남점,pc방,PC방,강남,https://m.place.naver.com/place/1638423460?entry=ple
이스포츠센터PC,pc방,PC방,강남,https://m.place.naver.com/place/1312720413?entry=ple
랭커PC 교대점,pc방,PC방,강남,https://m.place.naver.com/place/1522113070?entry=ple
인디고PC방 성수점,pc방,PC방,강남,https://m.place.naver.com/place/1039078105?entry=ple
긱스타PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1167744696?entry=ple
하이엘pc방,pc방,PC방,강남,https://m.place.naver.com/place/1891770943?entry=ple
리그PC카페,pc방,PC방,강남,https://m.place.naver.com/place/1193153177?entry=ple
세븐 석촌점,pc방,PC방,강남,https://m.place.naver.com/place/1888377512?entry=ple
엔탑피시방,pc방,PC방,강남,https://m.place.naver.com/place/1303043891?entry=ple
앤유 피씨 송파점,pc방,PC방,강남,https://m.place.naver.com/place/1138522194?entry=ple
