name,category_b,category_s,location,link
휘닉스 평창 스노우 파크,스키장,스키장,스키장,https://m.place.naver.com/place/15783182?entry=ple
알펜시아리조트스키장,스키장,스키장,스키장,https://m.place.naver.com/place/32359154?entry=ple
엘리시안강촌스키장,스키장,스키장,스키장,https://m.place.naver.com/place/15648643?entry=ple
지산포레스트리조트 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/51978638?entry=ple
무주 덕유산 리조트스키장,스키장,스키장,스키장,https://m.place.naver.com/place/20284202?entry=ple
오크밸리 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/66928111?entry=ple
에덴밸리 리조트스키장,스키장,스키장,스키장,https://m.place.naver.com/place/73284405?entry=ple
모나 용평 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/60427179?entry=ple
하이원리조트 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/92136142?entry=ple
알프스스키장(폐장),스키장,스키장,스키장,https://m.place.naver.com/place/15145616?entry=ple
하이원스키장,스키장,스키장,스키장,https://m.place.naver.com/place/1001078403?entry=ple
곤지암리조트 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/32350358?entry=ple
웰리힐리파크스노우파크,스키장,스키장,스키장,https://m.place.naver.com/place/31169393?entry=ple
오투리조트 스키장,스키장,스키장,스키장,https://m.place.naver.com/place/701834655?entry=ple
비발디파크,스키장,스키장,스키장,https://m.place.naver.com/place/56317478?entry=ple
강원도개발공사알펜시아스포츠파크,스키장,스키장,스키장,https://m.place.naver.com/place/1004476346?entry=ple
현무히든밸리스키,스키장,스키장,스키장,https://m.place.naver.com/place/1455075662?entry=ple
