name,category_b,category_s,location,link
테지움 테디베어 테마파크 서울점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/36520686?entry=ple
렛츠런파크 서울,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/11882754?entry=ple
스머프 매직 포레스트 강남점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1716057332?entry=ple
배다골 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/787187760?entry=ple
대부바다향기테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/31299078?entry=ple
웅진플레이도시,테마파크,테마파크,테마파크,https://m.place.naver.com/place/13294864?entry=ple
월미테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/13286619?entry=ple
왕송호수공원,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1720210811?entry=ple
하이브패밀리테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1412566119?entry=ple
아르티스테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1751383277?entry=ple
호텔 스카이파크 킹스타운 동대문점 스카이 시티 레이싱,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/1475891783?entry=ple
시아테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1532196871?entry=ple
책테마파크도서관,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/13327100?entry=ple
볼베어파크 부천점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1654560840?entry=ple
더스테이힐링파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/38477833?entry=ple
코코몽에코파크 용인점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/20673595?entry=ple
연꽃테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/13143571?entry=ple
하내테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/19129479?entry=ple
에델바이스 스위스 테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/34559812?entry=ple
서희테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/36794637?entry=ple
용인농촌테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/13327760?entry=ple
오산버드파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1488426279?entry=ple
화성국제테마파크(2026년예정),테마파크,테마파크,테마파크,https://m.place.naver.com/place/1103830319?entry=ple
나리벡시티테마파크(2027년01월예정),테마파크,테마파크,테마파크,https://m.place.naver.com/place/619151680?entry=ple
파주라기파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1076719659?entry=ple
양평 쉬자파크공원,테마파크,테마공원,테마파크,https://m.place.naver.com/place/36943426?entry=ple
인천로봇랜드테마파크(2026년예정),테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/16977451?entry=ple
관악소방서소방안전테마파크,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/1415800292?entry=ple
2017 부천 어린이키즈테마파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/745748877?entry=ple
드림파크 야생화단지,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/16953983?entry=ple
사파리체험테마파크,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/33618012?entry=ple
송도테마파크 (2026년2월예정),테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/21902312?entry=ple
스카이밀크 팜,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/36901076?entry=ple
태산패밀리파크,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/11622445?entry=ple
롯데월드 어드벤처,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11583235?entry=ple
베어팜,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/18837448?entry=ple
롯데몰 김포공항점스카이파크,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/20786260?entry=ple
씨사이드파크 해수족욕장,테마파크,테마공원,테마파크,https://m.place.naver.com/place/1269803706?entry=ple
다이나믹메이즈 인사동,테마파크,테마파크,테마파크,https://m.place.naver.com/place/36631598?entry=ple
동탄TRIM파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/1100093489?entry=ple
아이키즈파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/940521362?entry=ple
그린비전테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/19203860?entry=ple
에코랜드 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/19584967?entry=ple
서울어린이대공원,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11796387?entry=ple
김포레코파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/20656311?entry=ple
임실치즈테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1514459962?entry=ple
여수 유월드 루지 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1615094405?entry=ple
김해가야테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/15491493?entry=ple
삼국유사테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1735212439?entry=ple
신화테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1870600980?entry=ple
서울랜드,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11583237?entry=ple
수목원테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/30811752?entry=ple
합천영상테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/13291032?entry=ple
박물관은살아있다 인사동점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/34386470?entry=ple
담양테테루테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1034167536?entry=ple
아이니테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/659913225?entry=ple
해운대블루라인파크 미포정거장,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1007574852?entry=ple
소인국 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11555793?entry=ple
그린아일랜드테마파크,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/87901107?entry=ple
서프라이즈 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1193663990?entry=ple
주렁주렁 영등포 타임스퀘어점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1770068822?entry=ple
테마파크소풍,테마파크,테마파크,테마파크,https://m.place.naver.com/place/590873191?entry=ple
순창발효테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1820312680?entry=ple
9.81 파크 제주,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1666616962?entry=ple
원주한지테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11555986?entry=ple
해운대블루라인파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1287134328?entry=ple
주렁주렁 하남점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1587308093?entry=ple
신재생에너지테마파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/20178029?entry=ple
노리매,테마파크,"도시,테마공원",테마파크,https://m.place.naver.com/place/21607831?entry=ple
롯데월드 어드벤처매직아일랜드,테마파크,테마파크,테마파크,https://m.place.naver.com/place/18843840?entry=ple
밀리터리테마파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/1179459045?entry=ple
서산시겨울테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1401655764?entry=ple
국민힐링파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1686568168?entry=ple
부안영상테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1096343920?entry=ple
무병장수테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/19643175?entry=ple
에버랜드,테마파크,테마파크,테마파크,https://m.place.naver.com/place/11574457?entry=ple
선샤인밀양테마파크(2024년3월예정),테마파크,테마파크,테마파크,https://m.place.naver.com/place/1938598848?entry=ple
합천국보테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1995215643?entry=ple
대장경테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/21419297?entry=ple
더마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/13028494?entry=ple
트윈터널,테마파크,테마공원,테마파크,https://m.place.naver.com/place/57831343?entry=ple
해운대블루라인파크 송정정거장,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1439405831?entry=ple
전통농경문화테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/21408113?entry=ple
태종대 오션플라잉 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1443162775?entry=ple
한국문화테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1159328943?entry=ple
행화촌자연테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1977461063?entry=ple
앙젤루스 소원테마파크 속초아이점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1728606406?entry=ple
정글미디어파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1497368298?entry=ple
플레이월드,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1989376209?entry=ple
백마강테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1655429306?entry=ple
메이즈랜드,테마파크,테마공원,테마파크,https://m.place.naver.com/place/20034615?entry=ple
액티브파크 제주,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1865664437?entry=ple
충주탄금공원,테마파크,테마공원,테마파크,https://m.place.naver.com/place/20373587?entry=ple
세계거석테마파크,테마파크,"레저,테마",테마파크,https://m.place.naver.com/place/1936723989?entry=ple
서울어린이대공원놀이동산,테마파크,테마파크,테마파크,https://m.place.naver.com/place/13535141?entry=ple
무안 전통생활문화 테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1912540218?entry=ple
코코몽에코파크 제주점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/32378272?entry=ple
거제맹종죽테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/20059127?entry=ple
제주센트럴파크,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/11558557?entry=ple
무아마운틴파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1033171794?entry=ple
한국민속촌,테마파크,"관람,체험",테마파크,https://m.place.naver.com/place/11620801?entry=ple
목소리테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/36924917?entry=ple
진도개테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/20956109?entry=ple
1004뮤지엄파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1988800891?entry=ple
천수만농어촌테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1423692548?entry=ple
오가닉테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1860357870?entry=ple
춘향테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/12756624?entry=ple
대관령테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1211645227?entry=ple
주라지테마파크 대구신세계점,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1365872488?entry=ple
별주부전테마파크,테마파크,테마공원,테마파크,https://m.place.naver.com/place/37804420?entry=ple
엠플레이파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1534956577?entry=ple
중문미로파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/87507385?entry=ple
내장산관광테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/17562784?entry=ple
의성마늘테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/32663700?entry=ple
진해해양공원,테마파크,테마공원,테마파크,https://m.place.naver.com/place/11818747?entry=ple
오렌지가족오락테마파크,테마파크,테마파크,테마파크,https://m.place.naver.com/place/1683861744?entry=ple
