name,category_b,category_s,rating,review_cnt,review_url,location,address,img
바비레드 강남본점,식당,이탈리아음식,,4134.0,https://m.place.naver.com/restaurant/21607745/review/visitor,강남,서울 강남구 봉은사로6길 39 바비레드,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230703_152%2F1688353381904DBcWG_JPEG%2F%25B0%25AD%25B3%25B204.jpg
갤러리아포차,식당,요리주점,,48.0,https://m.place.naver.com/restaurant/1085851310/review/visitor,강남,서울 강남구 압구정로54길 4 4층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231208_55%2F1702013043379rmPGP_JPEG%2FIMG_5773.jpg
도산정육블랙 본점,식당,"육류,고기요리",,174.0,https://m.place.naver.com/restaurant/1232003090/review/visitor,강남,서울 강남구 선릉로155길 12 지상3층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231108_72%2F1699405662987Qqnof_JPEG%2FKakaoTalk_20231107_194846194.jpg
스미카츠 압구정 본점,식당,돈가스,,395.0,https://m.place.naver.com/restaurant/1072664780/review/visitor,강남,서울 강남구 선릉로157길 23-3 지상 1층 101호,
장인닭갈비 강남점,식당,닭갈비,4.29,2322.0,https://m.place.naver.com/restaurant/37792495/review/visitor,강남,서울 강남구 테헤란로1길 19,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161112_233%2F147894152004419V1R_PNG%2F177062583539881_0.png
블랙스테이크 강남점,식당,"스테이크,립",4.32,405.0,https://m.place.naver.com/restaurant/36932766/review/visitor,강남,서울 강남구 강남대로106길 23,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230426_22%2F16824761825257IP2c_JPEG%2FKakaoTalk_20230426_101555080_25.jpg
아베크 청담,식당,양식,,858.0,https://m.place.naver.com/restaurant/1846214116/review/visitor,강남,서울 강남구 선릉로 823 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230905_230%2F169391398794969fgd_JPEG%2F%25C7%25D8%25BD%25AC_%25BA%25EA%25B6%25F3%25BF%25EE-min.jpg
요미우돈교자 강남점,식당,일식당,,604.0,https://m.place.naver.com/restaurant/1826450002/review/visitor,강남,서울 강남구 강남대로110길 13 지상1층 요미우돈교자 강남점,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231229_291%2F1703861344531yNFgH_JPEG%2FIMG_1837.jpeg
순자포차 논현본점,식당,요리주점,,441.0,https://m.place.naver.com/restaurant/1764869465/review/visitor,강남,서울 강남구 강남대로120길 11 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231206_2%2F1701790846612P6XiK_JPEG%2F%25BC%25F8%25C0%25DA%25C6%25F7%25C2%25F7-05.jpg
꽁크,식당,양식,,312.0,https://m.place.naver.com/restaurant/1680900607/review/visitor,강남,"서울 강남구 압구정로54길 4 1, 2층",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240112_256%2F1705058147988SWuYk_JPEG%2FIMG_3203.jpeg
냉동고집 삼성점,식당,"육류,고기요리",,75.0,https://m.place.naver.com/restaurant/1711802164/review/visitor,강남,서울 강남구 삼성로 517 1층 104호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231127_283%2F1701066537523JrPpA_PNG%2F%25C0%25CC%25B9%25CC%25C1%25F6_124.png
Lu307 이자카야,식당,이자카야,4.83,399.0,https://m.place.naver.com/restaurant/1185481426/review/visitor,강남,서울 강남구 압구정로10길 30-7 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_298%2F1653351267165yJxca_JPEG%2F%25BE%25DF%25C5%25B0%25C5%25E4%25B8%25AE.jpg
옥된장 삼성점,식당,한식,,338.0,https://m.place.naver.com/restaurant/1501557480/review/visitor,강남,"서울 강남구 테헤란로81길 46 1층, 2층",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231218_146%2F17028763072488Nez6_JPEG%2FIMG_9186.jpg
오향절면 양재본점,식당,한식,4.26,783.0,https://m.place.naver.com/restaurant/38474259/review/visitor,강남,서울 강남구 남부순환로355길 13,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160819_190%2F1471596173843QcQKb_JPEG%2F176769577272861_0.jpeg
성씨네삼장집,식당,한식,,205.0,https://m.place.naver.com/restaurant/1297632150/review/visitor,강남,서울 강남구 압구정로50길 28 지상1층 111호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231116_20%2F1700140655385w0gCq_JPEG%2F1.jpg
오하이요 압구정로데오점,식당,이자카야,,23.0,https://m.place.naver.com/restaurant/1411482033/review/visitor,강남,서울 강남구 선릉로161길 7 1층 103호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231221_252%2F1703143279408i5j0w_JPEG%2Fv2.jpg
연하동 신논현점,식당,일식당,,122.0,https://m.place.naver.com/restaurant/1373743128/review/visitor,강남,서울 강남구 강남대로110길 19-1 지상1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_24%2F1701172496996rochK_JPEG%2FKakaoTalk_20231128_204941941_06.jpg
순정한우정육식당 학동역점,식당,정육식당,,49.0,https://m.place.naver.com/restaurant/1101552227/review/visitor,강남,서울 강남구 논현로131길 7 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_112%2F16969029885792UusS_JPEG%2F%25BC%25F8%25C1%25A4%25C0%25FC%25C3%25BC.jpg
