name,category_b,category_s,rating,review_cnt,review_url,location,address,img,isoutdoor
오즈PC방 강남역점,pc방,PC방,4.24,493,https://m.place.naver.com/place/1064489588/review/visitor,강남,서울 강남구 강남대로94길 10 케이스퀘어강남 지하2층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190527_68%2F1558943163217YV7PL_JPEG%2FsC0EAaHWfKAaEayIi7KqfhJV.jpg,0
긱스타PC & 올툰만화카페 선릉점,pc방,PC방,4.32,131,https://m.place.naver.com/place/1356998346/review/visitor,강남,서울 강남구 선릉로93길 18 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230717_239%2F1689605348043z0rQG_JPEG%2FKakaoTalk_20230717_234732087_05.jpg,0
아이리스 PC방 신사점,pc방,PC방,,145,https://m.place.naver.com/place/1475405010/review/visitor,강남,"서울 강남구 압구정로2길 60 MG타워 1층 101호, 102호",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_253%2F1649817140620ieHCu_JPEG%2F%25BE%25C6%25C0%25CC%25B8%25AE%25BD%25BA1.jpg,0
파빌리온PC카페,pc방,PC방,,115,https://m.place.naver.com/place/1715367286/review/visitor,강남,서울 강남구 도곡로 445 현민빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230722_171%2F1689991158954awLXQ_JPEG%2F1689991127004.jpg,0
3pop pc 방,pc방,PC방,4.44,49,https://m.place.naver.com/place/1603333343/review/visitor,강남,서울 강남구 테헤란로 107 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191012_269%2F15708727515178K5dj_JPEG%2Fk3C0huanpS9UsZC37tzmjF-f.jpg,0
오즈쓰리팝 PC방,pc방,PC방,4.26,133,https://m.place.naver.com/place/1871609805/review/visitor,강남,서울 강남구 강남대로 478,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180806_43%2F1533541394078Xx2iH_JPEG%2FwSOmC5kTsNyfzux_6Z_L5Vaf.jpg,0
피씨앤쿡,pc방,PC방,4.35,155,https://m.place.naver.com/place/36628673/review/visitor,강남,서울 강남구 언주로93길 30 2층 피씨앤쿡,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210902_206%2F1630533276603JEbVj_JPEG%2Fy-_MwAlYNcco2GPjEvfseemw.jpg,0
제로100PC 대치점,pc방,PC방,,91,https://m.place.naver.com/place/1121773755/review/visitor,강남,서울 강남구 역삼로 417 지하1층(대치동),https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230118_178%2F1674009308119DEb0G_PNG%2F%25C1%25A6%25B7%25CE%25B9%25E9%25B7%25CE%25B0%25ED1_%25BF%25F8%25C7%25FC.png,0
오즈쓰리팝PC방,pc방,PC방,,94,https://m.place.naver.com/place/1117702725/review/visitor,강남,서울 강남구 신사동,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210221_76%2F1613912414379kbLRT_JPEG%2FJhtgoi0FL0g5N70x9svD0AN4.jpg,0
게임이너스 양재점,pc방,PC방,4.38,115,https://m.place.naver.com/place/30815131/review/visitor,강남,서울 강남구 남부순환로 2609 하늘빌딩,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181022_223%2F1540204624587DieIV_JPEG%2F0w7PvvUsEQiQybO1QFMhvjQu.jpg,0
